"Sr No"," Blood Bank Name"," State"," District"," City"," Address",Pincode," Contact No"," Mobile"," Helpline"," Fax"," Email"," Website"," Nodal Officer "," Contact Nodal Officer"," Mobile Nodal Officer"," Email Nodal Officer"," Qualification Nodal Officer"," Category"," Blood Component Available"," Apheresis"," Service Time"," License #"," Date License Obtained"," Date of Renewal"," Latitude"," Longitude"
1,"G.B. Pant Hospital Blood bank","Andaman And Nicobar Islands","SOUTH ANDAMAN","Port Blair","Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar",744104,"03192 230628",9434266561,102,N/A,bbgbpant@gmail.com,NA,"Dr.Ganesh Samaddar","03192 230628",9434266561,ganeshsamadder7@gmail.com,NA,Government,YES,NO,24X7,DL1/CLAA/ANI,14.6.1996,01.01.2012,11.675442,92.747338
2,"I.N.H.S. Dhanvantri","Andaman And Nicobar Islands","SOUTH ANDAMAN","Port Blair","Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",744103,"03192 248759",8001452200,N/A,N/A,NA,NA,"Dr.Smiriti Mathur","03192 248759",8001452200,mesmriti@yahoo.com,"MBBS, MD (Pathology)",Government,NO,NO,24X7,DL2/CLAA/ANI,14.06.1996,31.12.2016,11.649693,92.717418
3,"Pillar Health Centre Blood Bank","Andaman And Nicobar Islands","SOUTH ANDAMAN","Port Blair","Lamba Line,
P.B. 526,
P.O. Junglighat, 
Opposite Airport",744104,"03192 233193, 03192 233993",9474247585,"03192 233193",N/A,pillarbloodbank2016@gmail.com,NA,"Dr. Sr. Cross Mary","03192 233193, 03192 233993",9474247585,crossgracy2003@yahoo.co.in,"MBBS, MD (Medicine)",Charity,NO,NO,24X7,DL3/CLAA/ANI,08.09.2010,10.06.2015,11.653229,92.730714
4,"Indian Red Cross Society Blood Bank, District Branch","Andhra Pradesh",ANANTAPUR,Anantapur,"Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",515002,"08554 246344",9441192365,NA,"08554 246344",NA,NA,"Dr.G. Parvathi & Dr.G. Ramanjaneyulu Naidu",NA,"09441125444, 09440286555",ircsbloodbank.anantapur@gmail.com,"MBBS, MD, DCP",Charity,YES,NO,24x7,13/ATP/AP/2005/BB/R,22.11.2005,21.11.2015,14.654936,77.609915
5,"Government General Hospital Blood Bank","Andhra Pradesh",ANANTAPUR,Ananthapur,"Government General Hospital, Ananthapur",515001,"08554 275024",9866695858,NA,NA,bloodbankgghatp@gmail.com,NA,"Dr. Shiva kumar & Dr. Swapna","08554 275024","09866695858, 09912938380",bloodbankgghatp@gmail.com,"MBBS, MD (Pathology)",Government,YES,NO,24x7,50/ATP/AP/97/BB/R,28.01.1997,01.01.2013,14.671459,77.596684
6,"Indian Red Cross Society","Andhra Pradesh",ANANTAPUR,Ananthapur,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",515001,8554246344,"Dist.Secretary 9866023293",NA,NA,ircsbloodbank.anantapur@gmail.com,NA,NA,NA,NA,NA,NA,Charity,YES,NO,24x7,NA,NA,NA,14.681888,77.600591
7,"Rural Development Trust Hospital Blood Bank","Andhra Pradesh",ANANTAPUR,Bathalapalli,"Kadiri Road, Bathalapalli, Ananthapur",515661,"08559 244259",9493268861,NA,NA,NA,NA,"Dr. Hariharanadha Sharma",NA,9177155517,syanakishore@yahoo.co.in,"MD (Pathology)",Charity,YES,NO,24x7,13/AT/AP/2003/BB/R,28.08.2003,"Renewal under Process",14.652907,77.618826
8,"South Central Railway Hospital Blood Bank","Andhra Pradesh",ANANTAPUR,Guntakal,"S.C. Railway Hospital, Guntakal, Ananthapuramu",515801,"08552 227166",9701374501,NA,NA,NA,NA,NA,NA,NA,scrhbloodbank@gmail.com,NA,Government,NO,NO,24x7,79/AT/AP/97/BB/G,28.01.1997,NA,15.172889,77.366103
9,"Indian Red Cross Society Blood Bank","Andhra Pradesh",ANANTAPUR,Hindupur,"Government General Hospital Blood Bank, Hindupur, Ananthapur",515201,"08556 225900",NA,NA,NA,ircshup@gmail.com,NA,"Dr. M. Satyam",9490978739,9490978739,ircshup@gmail.com,MBBS,Charity,NO,NO,24x7,01/ATP/AP/2011/BB,07.04.2011,06.06.2015,13.832533,77.492214
10,"Indian Red Cross Society Blood bank RCH -II KADIRI","Andhra Pradesh",ANANTAPUR,Kadiri,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur",515591,"08494 221544",9989738689,NA,NA,kadiriircs@gmail.com,NA,"Dr. G. P. Subbrayudu",NA,9989738689,kadiriircs@gmail.com,"MBBS, Diploma in Dermatology",Government,NO,NO,24x7,ATP/AP/2008/BB/G,16.07.2008,15.07.2013,14.113089,78.157366
11,"S.S.S.I.H.M.S. Blood Bank","Andhra Pradesh",ANANTAPUR,Puttaparthy,"Prasanthigram, Puttaparthy, Ananthapuramu",515134,"08555 287900",9490360321,NA,NA,saikiran_ptp@yahoo.co.in,NA,"Dr. Sai Kiran",NA,9490360321,sssihmspg@gmail.com,MBBS,Government,NA,NA,24x7,NA,NA,NA,14.151889,77.77685
12,"District Head Quarters Hospital Blood Bank.","Andhra Pradesh",CHITTOOR,Chittoor,"Head Quarters  Hospital Compound, Chittoor",517001,NA,9849229482,NA,NA,bloodbankctr1@gmail.com,NA,"Dr. K. Babu Rajendra Prasad",NA,9849229482,bloodbankctr1@gmail.com,"MBBS MD (Dermatology)",Government,YES,NO,24x7,53/CPR/AP/1997/BB/R,27.01.1997,31.12.2017,13.217176,79.100329
13,"Indian Red Cross Society","Andhra Pradesh",CHITTOOR,Chittoor,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",517001,8572220287,NA,NA,NA,"indian red cross society indian red corss society",NA,NA,NA,NA,NA,NA,Charity,YES,NO,24x7,NA,NA,NA,13.217176,79.100329
14,"M/s IRCS Blood Bank.","Andhra Pradesh",CHITTOOR,Chittoor,"D.No. 20 - 119, Prakasam High Road, Chittor",517001,"08572 220287",9849229482,NA,NA,ircschittoor@gmail.com,NA,"Dr. M. V. Narayana Reddy",NA,8019383106,ircschittoor@gmail.com,"MBBS, DO",Charity,NO,NO,24x7,17/CT/AP/2002/BB/R,16.12.2002,01.01.2013,13.21698,79.100764
15,"M/s PESIMSR Blood Bank.","Andhra Pradesh",CHITTOOR,Kuppam,"PES Institute of medical sciences premises, Kuppam",517425,"08570 256737",9391833741,NA,"08570 257200",pathpesimsr@gmail.com,NA,"Dr. B. M. Prasanth",NA,9391833741,pathpesimsr@gmail.com,"MBBS, MD (Pathology)",Private,YES,NO,24X7,8/CP/AP/2003/BB/R,25.06.2003,25.06.2018,12.791223,78.363897
16,"Blood Bank AH Madanapalli","Andhra Pradesh",CHITTOOR,Madanapalli,"The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",517325,8571222087,NA,NA,NA,ircsbbmpl2009@gmail.com,NA,NA,NA,NA,NA,NA,Charity,YES,NO,24x7,18/CT/AP/2009/BBG,NA,NA,13.217176,79.100329
17,"Indian Red Cross Society, Madanapalli RCH 2","Andhra Pradesh",CHITTOOR,Madnapalli,"Area Hospital, Patel Road, Madanapalli.",517325,"08571 222087",9440580272,NA,NA,ircsbbmpl2009@gmail.com,NA,"Dr. P. Radhakrishna Reddy",NA,9440580272,ircsbbmpl2009@gmail.com,MBBS,Government,NO,NO,24X7,18/CP/AP/2009/BB/G,22.04.2009,21.04.2014,13.556927,78.50085
18,"Aswini Hospital Blood Bank, TTD","Andhra Pradesh",CHITTOOR,Tirumala,"Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor",517507,9490651605,9490651605,NA,NA,suresh.bandapalli@gmail.com,NA,NA,NA,NA,NA,NA,Charity,NA,NA,24x7,NA,NA,NA,13.677292,79.3487
19,"SVRRGGH - Model Blood Bank","Andhra Pradesh",CHITTOOR,Tirupati,"S.V.R.R. Government General Hospital, Tirupati",517502,"0877 2286290",NA,NA,"0877 2286290",modelbloodbanktpt2010@gmail.com,NA,"Dr. L.Krishna",NA,9848369221,NA,"MBBS, MD (Pathology)",Government,YES,NO,24x7,18/CT/AP/95/BB/CP,12.09.2011,09.10.2016,13.644382,79.407003
20,"Sri Venkateswara Institute of Medical sciences Blood Bank","Andhra Pradesh",CHITTOOR,Tirupati,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",517507,"0877 2287777",NA,NA,0877-2286116,svimshosp,NA,NA,NA,NA,NA,NA,Charity,NA,NA,24x7,NA,NA,NA,13.637934,79.403917
21,"Govt Maternity Hospital Blood Bank","Andhra Pradesh",CHITTOOR,Tirupati,"Ruia Hospital Road, Tirupati",517507,NA,9949190197,NA,8772230367,supdtgmhtirupati@yahoo.com,NA,NA,NA,NA,NA,NA,Government,NO,NO,24x7,NA,NA,NA,13.639418,79.409372
22,"TTD Central Hospital Blood Bank","Andhra Pradesh",CHITTOOR,Tirupati,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati",517501,"0877 2264622",9849099750,NA,NA,ttdcentralhospital@gmail.com,NA,"Dr. J. Padmaja, Dr. R. V. S. Muralidhar",8772264623,9959905559,ttdcentralhospital@gmail.com,MBBS,Charity,NO,NO,24x7,85/CH/AP/BB/1997/R,07.07.1997,01.01.2018,13.642148,79.421067
23,"S.V.S. Charitable Trust Blood Bank and Transfusion Centre","Andhra Pradesh",CHITTOOR,Tirupati,"10-13-514, 1st Floor, Reddy & Reddy Colony, Tirupathi",517501,"0877 6667671",9246999571,NA,NA,svsctbloodbank@gmail.com,NA,NA,NA,NA,NA,NA,Charity,YES,YES,"24 hrs",NA,NA,NA,0,0
24,"Government Hospital","Andhra Pradesh","EAST GODAVARI",Amalapuram,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",533201,NA,9989106236,NA,NA,bloodbankahamp@gmail.com,NA,"Dr. G. KARNAL RAJU",9989106236,9989106236,bloodbankahamp@gmail.com,NA,Government,NO,NO,24x7,NA,NA,NA,16.587432,82.008431
